timestamp	experiment	transfer	walk	bus	train	wait	cat_match	xfer_match	walk_match	notes
2026-04-10 14:17:52	default	120	1.0	1.0	1.0	1.0	0.8815	0.7370	0.4100	
2026-04-10 14:17:52	calibrated	600	10.0	0.7	1.5	1.5	0.9645	0.8755	0.6115	
