route_id,agency_id,route_short_name,route_long_name,route_type
BR_1100_100100001,A1,01A,-,0
BR_1100_100100006,A1,101,-,0
BR_1100_100100007,A1,102,-,0
BR_1100_100100008,A1,103,-,0
BR_1100_100100009,A1,104,-,0
BR_1100_100100010,A1,105,-,0
BR_1100_100100011,A1,106,-,0
BR_1100_100100012,A1,107,-,0
BR_1100_100100014,A1,109,-,0
BR_1100_100100015,A1,110B국민대,-,0
BR_1100_100100016,A1,110A고려대,-,0
BR_1100_100100017,A1,120,-,0
BR_1100_100100018,A1,130,-,0
BR_1100_100100019,A1,140,-,0
BR_1100_100100020,A1,141,-,0
BR_1100_100100021,A1,142,-,0
BR_1100_100100022,A1,143,-,0
BR_1100_100100023,A1,144,-,0
BR_1100_100100024,A1,145,-,0
BR_1100_100100025,A1,146,-,0
BR_1100_100100026,A1,147,-,0
BR_1100_100100027,A1,148,-,0
BR_1100_100100029,A1,150,-,0
BR_1100_100100030,A1,151,-,0
BR_1100_100100031,A1,152,-,0
BR_1100_100100032,A1,163,-,0
BR_1100_100100033,A1,160,-,0
BR_1100_100100034,A1,162,-,0
BR_1100_100100036,A1,171,-,0
BR_1100_100100037,A1,172,-,0
BR_1100_100100038,A1,201,-,0
BR_1100_100100039,A1,202,-,0
BR_1100_100100042,A1,260,-,0
BR_1100_100100043,A1,261,-,0
BR_1100_100100044,A1,262,-,0
BR_1100_100100046,A1,270,-,0
BR_1100_100100047,A1,271,-,0
BR_1100_100100048,A1,272,-,0
BR_1100_100100049,A1,273,-,0
BR_1100_100100051,A1,301,-,0
BR_1100_100100052,A1,302,-,0
BR_1100_100100053,A1,303,-,0
BR_1100_100100055,A1,340,-,0
BR_1100_100100056,A1,341,-,0
BR_1100_100100057,A1,360,-,0
BR_1100_100100061,A1,370,-,0
BR_1100_100100062,A1,401,-,0
BR_1100_100100063,A1,402,-,0
BR_1100_100100064,A1,406,-,0
BR_1100_100100068,A1,420,-,0
BR_1100_100100070,A1,441,-,0
BR_1100_100100071,A1,461,-,0
BR_1100_100100073,A1,470,-,0
BR_1100_100100075,A1,472,-,0
BR_1100_100100076,A1,500,-,0
BR_1100_100100077,A1,501,-,0
BR_1100_100100078,A1,503,-,0
BR_1100_100100079,A1,504,-,0
BR_1100_100100080,A1,505,-,0
BR_1100_100100081,A1,506,-,0
BR_1100_100100082,A1,507,-,0
BR_1100_100100083,A1,540,-,0
BR_1100_100100084,A1,571,-,0
BR_1100_100100085,A1,600,-,0
BR_1100_100100086,A1,601,-,0
BR_1100_100100087,A1,602,-,0
BR_1100_100100088,A1,603,-,0
BR_1100_100100089,A1,604,-,0
BR_1100_100100090,A1,605,-,0
BR_1100_100100091,A1,606,-,0
BR_1100_100100093,A1,640,-,0
BR_1100_100100094,A1,641,-,0
BR_1100_100100096,A1,643,-,0
BR_1100_100100097,A1,650,-,0
BR_1100_100100098,A1,651,-,0
BR_1100_100100099,A1,652,-,0
BR_1100_100100102,A1,661,-,0
BR_1100_100100103,A1,701,-,0
BR_1100_100100104,A1,702A서오릉,-,0
BR_1100_100100105,A1,702B용두초교,-,0
